PLAY_ID	GAME_ID	REL_PLAY_ID	QTR	MIN	SEC	OFF	DEF	DRIVE_ID	DOWN	YARDS_TO_FIRST	YARDS_TO_GOAL	DESCRIPTION	OFF_SCORE	DEF_SCORE	SEASON	YEAR	MONTH	DAY	HOME_TEAM	AWAY_TEAM	PLAY_TYPE
1	20020905_SF@NYG	1	1	0	0	SF	NYG	-1	0	0	0	J.Cortez kicks 75 yards from SF 30 to NYG -5. R.Dixon  Touchback.	0	0	2002	2002	9	5	NYG	SF	KICKOFF
2	20020905_SF@NYG	2	1	60	0	NYG	SF	1	1	10	80	(15:00) T.Barber left end to NYG 24 for 4 yards (C.Okeafor  J.Webster).	0	0	2002	2002	9	5	NYG	SF	RUN|RUN_LEFT
3	20020905_SF@NYG	3	1	59	25	NYG	SF	1	2	6	76	(14:25) K.Collins pass incomplete to J.Shockey (D.Smith).	0	0	2002	2002	9	5	NYG	SF	PASS_INCOMPLETE
4	20020905_SF@NYG	4	1	59	20	NYG	SF	1	3	6	76	(14:20) PENALTY on NYG-J.Shockey  False Start  5 yards  enforced at NYG 24 - No Play.	0	0	2002	2002	9	5	NYG	SF	PENALTY|NO_PLAY
5	20020905_SF@NYG	5	1	59	20	NYG	SF	1	3	11	81	(14:20) (Shotgun) K.Collins pass intended for T.Barber INTERCEPTED by T.Parrish (M.Rumph) at NYG 29. T.Parrish to NYG 23 for 6 yards (T.Barber).	0	0	2002	2002	9	5	NYG	SF	INTERCEPTION
6	20020905_SF@NYG	6	1	59	9	SF	NYG	1	1	10	23	(14:09) J.Garcia right end ran ob at NYG 7 for 16 yards (B.Short). Back to pass  rushes.	0	0	2002	2002	9	5	NYG	SF	RUN|RUN_RIGHT|PASS_COMPLETE
7	20020905_SF@NYG	7	1	58	38	SF	NYG	1	1	7	7	(13:38) PENALTY on SF-R.Stone  False Start  5 yards  enforced at NYG 7 - No Play.	0	0	2002	2002	9	5	NYG	SF	PENALTY|NO_PLAY
8	20020905_SF@NYG	8	1	58	35	SF	NYG	1	1	12	12	(13:35) G.Hearst left guard to NYG 8 for 4 yards (C.Griffin).	0	0	2002	2002	9	5	NYG	SF	RUN|RUN_LEFT
9	20020905_SF@NYG	9	1	57	47	SF	NYG	1	2	8	8	(12:47) J.Garcia pass incomplete to T.Owens.	0	0	2002	2002	9	5	NYG	SF	PASS_INCOMPLETE
10	20020905_SF@NYG	10	1	57	40	SF	NYG	1	3	8	8	(12:40) J.Garcia pass to G.Hearst to NYG 7 for 1 yard (J.Sehorn  S.Williams).	0	0	2002	2002	9	5	NYG	SF	PASS_COMPLETE
11	20020905_SF@NYG	11	1	56	59	SF	NYG	1	4	7	7	(11:59) J.Cortez 25 yard field goal is BLOCKED (M.Rosenthal)  Center-B.Jennings  Holder-J.Baker.	0	0	2002	2002	9	5	NYG	SF	FIELD_GOAL_BLOCKED
12	20020905_SF@NYG	12	1	56	51	NYG	SF	2	1	10	80	(11:51) K.Collins pass to A.Toomer pushed ob at NYG 22 for 2 yards (J.Webster).	0	0	2002	2002	9	5	NYG	SF	PASS_COMPLETE
13	20020905_SF@NYG	13	1	56	23	NYG	SF	2	2	8	78	(11:23) K.Collins pass incomplete to A.Toomer. PENALTY on SF-J.Webster  Defensive Pass Interference  5 yards  enforced at NYG 22 - No Play.	0	0	2002	2002	9	5	NYG	SF	PASS_INCOMPLETE|PENALTY|NO_PLAY
14	20020905_SF@NYG	14	1	56	19	NYG	SF	2	1	10	73	(11:19) T.Barber left end ran ob at NYG 43 for 16 yards (J.Winborn).	0	0	2002	2002	9	5	NYG	SF	RUN|RUN_LEFT
15	20020905_SF@NYG	15	1	55	56	NYG	SF	2	1	10	57	(10:56) K.Collins pass to A.Toomer pushed ob at SF 31 for 26 yards (J.Webster). PENALTY on NYG-A.Toomer  Offensive Pass Interference  10 yards  enforced at NYG 43 - No Play.	0	0	2002	2002	9	5	NYG	SF	PASS_COMPLETE|PENALTY|NO_PLAY
16	20020905_SF@NYG	16	1	55	30	NYG	SF	2	1	20	67	(10:30) PENALTY on NYG-A.Toomer  False Start  5 yards  enforced at NYG 33 - No Play.	0	0	2002	2002	9	5	NYG	SF	PENALTY|NO_PLAY
17	20020905_SF@NYG	17	1	55	15	NYG	SF	2	1	25	72	(10:15) R.Dayne right guard to NYG 28 for no gain (J.Peterson  D.Smith).	0	0	2002	2002	9	5	NYG	SF	RUN|RUN_RIGHT
18	20020905_SF@NYG	18	1	54	39	NYG	SF	2	2	25	72	(9:39) K.Collins pass to A.Toomer to 50 for 22 yards (J.Webster).	0	0	2002	2002	9	5	NYG	SF	PASS_COMPLETE
19	20020905_SF@NYG	19	1	53	57	NYG	SF	2	3	3	50	(8:57) K.Collins pass to A.Toomer to SF 36 for 14 yards (Z.Bronson).	0	0	2002	2002	9	5	NYG	SF	PASS_COMPLETE
20	20020905_SF@NYG	20	1	53	16	NYG	SF	2	1	10	36	(8:16) T.Barber right guard to SF 30 for 6 yards (J.Winborn).	0	0	2002	2002	9	5	NYG	SF	RUN|RUN_RIGHT
21	20020905_SF@NYG	21	1	52	34	NYG	SF	2	2	4	30	(7:34) K.Collins FUMBLES (Aborted) at SF 30  RECOVERED by SF-C.Okeafor at SF 30. C.Okeafor to SF 30 for no gain (C.Bober). PENALTY on SF-S.Moran  Defensive Offside  5 yards  enforced at SF 30 - No Play.	0	0	2002	2002	9	5	NYG	SF	FUMBLE|PENALTY|NO_PLAY
22	20020905_SF@NYG	22	1	52	20	NYG	SF	2	1	10	25	(7:20) K.Collins pass to I.Hilliard to SF 13 for 12 yards (Z.Bronson  J.Webster).	0	0	2002	2002	9	5	NYG	SF	PASS_COMPLETE
23	20020905_SF@NYG	23	1	51	49	NYG	SF	2	1	10	13	(6:49) R.Dayne right tackle to SF 11 for 2 yards (J.Winborn  C.Okeafor).	0	0	2002	2002	9	5	NYG	SF	RUN|RUN_RIGHT
24	20020905_SF@NYG	24	1	51	9	NYG	SF	2	2	8	11	(6:09) K.Collins pass incomplete to A.Toomer (M.Rumph).	0	0	2002	2002	9	5	NYG	SF	PASS_INCOMPLETE
